Title,Price,Location,URL
Channel Islands Surfboard,75,"Cayucos, CA",https://www.facebook.com//marketplace/item/1157509018841742/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Midlength Surfboard,75,"San Luis Obispo, CA",https://www.facebook.com//marketplace/item/2853514368129211/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
"Surfboard - 6'8""",75,"Grover Beach, CA",https://www.facebook.com//marketplace/item/851402870256878/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
5’6 stormblade fish board,80,"San Luis Obispo, CA",https://www.facebook.com//marketplace/item/1468266787382899/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Surfboards - 1 short board,80,"Santa Ynez, CA",https://www.facebook.com//marketplace/item/436978348879284/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Anacapa surfboard,80,"Paso Robles, CA",https://www.facebook.com//marketplace/item/388248347070135/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
5’11” Surfboard,80,"Santa Barbara, CA",https://www.facebook.com//marketplace/item/884779980351986/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Surfboard ￼,100,"Arroyo Grande, CA",https://www.facebook.com//marketplace/item/510008804690859/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Channel Islands surfboard OG Flyer,100,"Santa Barbara, CA",https://www.facebook.com//marketplace/item/338928905936784/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Shane Stoneman Surfboard,100,"Morro Bay, CA",https://www.facebook.com//marketplace/item/1196653184909562/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Cordell Custom 5’10 Surfboard,100,"San Luis Obispo, CA",https://www.facebook.com//marketplace/item/1499573937584204/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Surfboards,100,"San Luis Obispo, CA",https://www.facebook.com//marketplace/item/1222465542268877/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Surfboards,100,"Arroyo Grande, CA",https://www.facebook.com//marketplace/item/404553598744044/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Surfboards $100,100,"Los Osos, CA",https://www.facebook.com//marketplace/item/798321922405130/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Channel Islands flyer II 6’1” 18.25” 2.25” 27L surfboard,100,"Santa Barbara, CA",https://www.facebook.com//marketplace/item/385461817857516/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Surfboards,100,"Ventura, CA",https://www.facebook.com//marketplace/item/8608495665845166/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
New and Used Surfboards,100,"Los Osos, CA",https://www.facebook.com//marketplace/item/8082180628468032/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
New and Used Surfboards,100,"Los Osos, CA",https://www.facebook.com//marketplace/item/981138443630559/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
"6'8"" South Coast Soft Top Surfboard",100,"Santa Barbara, CA",https://www.facebook.com//marketplace/item/1685654895232111/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Surfboard,100,"Pismo Beach, CA",https://www.facebook.com//marketplace/item/1865803187252735/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Surfboard,100,"San Luis Obispo, CA",https://www.facebook.com//marketplace/item/442730228533391/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
shortboard surfboards,100,"Goleta, CA",https://www.facebook.com//marketplace/item/502442612174913/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
New and Used Surfboards,100,"Los Osos, CA",https://www.facebook.com//marketplace/item/1137885587269631/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
7’8” Murphy surf board,100,"Atascadero, CA",https://www.facebook.com//marketplace/item/1011606217118616/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
"Surfboards (Channel Islands, etc)",100,"Santa Barbara, CA",https://www.facebook.com//marketplace/item/1330880671172316/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Surfboards for sale DM for individual specs,100,"Santa Barbara, CA",https://www.facebook.com//marketplace/item/2920153974786829/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Al Merrick Fred Rubble 5’10” Shortboard,100,"Goleta, CA",https://www.facebook.com//marketplace/item/501121742599834/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Super Surfboard 5’11,100,"San Luis Obispo, CA",https://www.facebook.com//marketplace/item/1523065588273006/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Barry D-Baugh Surfboard,100,"Paso Robles, CA",https://www.facebook.com//marketplace/item/1651182358972658/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Ward Coffey Step-up (7’8”) Surfboard,110,"Arroyo Grande, CA",https://www.facebook.com//marketplace/item/1032228871754896/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
"Surfboard Sale, 12 Groveler, Fish, Shortboard, Surfboards for Sale",110,"Wildomar, CA",https://www.facebook.com//marketplace/item/1012050523852862/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
54” Catchsurf Foam Surfboard,115,"San Luis Obispo, CA",https://www.facebook.com//marketplace/item/1735568817215651/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
7’0 Pearson Arrow,120,"Carmel-by-the-Sea, CA",https://www.facebook.com//marketplace/item/470634005697054/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
5 Shortboard Surfboards,123,"Grover Beach, CA",https://www.facebook.com//marketplace/item/761192109392381/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Surfboard,125,"Nipomo, CA",https://www.facebook.com//marketplace/item/1146179183320781/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Surfboard 6’2”,125,"San Luis Obispo, CA",https://www.facebook.com//marketplace/item/1634466393997946/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Surfboards,125,"Santa Margarita, CA",https://www.facebook.com//marketplace/item/408140148411617/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
T Patterson surfboard,130,"San Luis Obispo, CA",https://www.facebook.com//marketplace/item/1800965190385186/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
surfboards,150,"San Luis Obispo, CA",https://www.facebook.com//marketplace/item/751369156473895/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Surfboard,150,"San Luis Obispo, CA",https://www.facebook.com//marketplace/item/352281334343875/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
LS shapes surfboard,150,"San Luis Obispo, CA",https://www.facebook.com//marketplace/item/1562087411357955/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Surfboards,150,"Atascadero, CA",https://www.facebook.com//marketplace/item/1749858302207491/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Surfboard,150,"San Luis Obispo, CA",https://www.facebook.com//marketplace/item/3448911098733447/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
"Libtech puddle jumper, Lost surfboards",150,"Santa Barbara, CA",https://www.facebook.com//marketplace/item/1008547304009852/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Channel Islands Grom Surfboards,150,"Santa Barbara, CA",https://www.facebook.com//marketplace/item/352872977586211/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
